,NAME,STATUS,SHOT,SEQ,REEL
501,FTP,Completed,SHOT_040,410,410
502,Layout,In progress,SHOT_110,730,730
503,FTP,Completed,SHOT_030,410,410
504,FTP,Completed,SHOT_060,410,410
505,Animation,Ready to Start,SHOT_010,630,630
506,Layout,Completed,SHOT_010,630,630
507,Layout,In progress,SHOT_090,610,610
508,Layout,In progress,SHOT_081,590,590
509,Layout,Ready to Start,SHOT_003,820,820
510,Layout,Ready to Start,SHOT_131,820,820
511,Layout,Ready to Start,SHOT_132,820,820
512,Layout,Ready to Start,SHOT_133,820,820
513,Cloth,Completed,SHOT_020,050,050
514,Compositing,Approved,SHOT_020,050,050
515,Paint,Completed,SHOT_020,050,050
516,Rendering,Completed,SHOT_020,050,050
517,Lookdev,Approved,SHOT_020,050,050
518,Layout,Ready to Start,SHOT_137,820,820
519,Layout,Ready to Start,SHOT_138,820,820
520,Compositing,Pending Review,SHOT_010,170,170
521,Paint,Completed,SHOT_010,170,170
522,Rendering,In progress,SHOT_010,170,170
523,Lookdev,Approved,SHOT_010,170,170
524,Layout,Ready to Start,SHOT_139,820,820
525,Layout,In progress,SHOT_610,310,310
526,Cloth,Completed,SHOT_026,170,170
527,Layout,In progress,SHOT_140,820,820
528,Compositing,Pending Review,SHOT_026,170,170
529,Paint,Ready to Start,SHOT_026,170,170
530,Animation,Approved,SHOT_026,170,170
531,Lookdev,Pending Review,SHOT_026,170,170
532,Baking,Completed,SHOT_026,170,170
533,Assemble,Completed,SHOT_080,170,170
534,Layout,Ready to Start,SHOT_004,820,820
535,Layout,In progress,SHOT_040,690,690
536,Assemble,Completed,SHOT_060,170,170
537,Layout,In progress,SHOT_141,820,820
538,Assemble,Completed,SHOT_070,170,170
539,Animation,In progress,SHOT_105,250,250
540,Layout,In progress,SHOT_142,820,820
541,Layout,In progress,SHOT_143,820,820
542,Animation,Ready to Start,SHOT_010,360,360
543,Layout,In progress,SHOT_144,820,820
544,Layout,Completed,SHOT_010,360,360
545,Layout,In progress,SHOT_145,820,820
546,Animation,Ready to Start,SHOT_200,450,450
547,Layout,Completed,SHOT_200,450,450
548,Hair and Fur,Completed,SHOT_406,180,180
549,Animation,Ready to Start,SHOT_070,360,360
550,Animation,Approved,SHOT_406,180,180
551,Lookdev,In progress,SHOT_406,180,180
552,Layout,Completed,SHOT_070,360,360
553,Assemble,Completed,SHOT_406,180,180
554,Cloth,Completed,SHOT_406,180,180
555,Baking,Completed,SHOT_406,180,180
556,Lookdev,Not started,SHOT_010,210,210
557,Paint,Completed,SHOT_190,700,700
558,Animation,Ready to Start,SHOT_120,360,360
559,Layout,Completed,SHOT_120,360,360
560,Animation,Ready to Start,SHOT_020,630,630
561,Layout,In progress,SHOT_065,310,310
562,Layout,Completed,SHOT_020,630,630
563,FTP,Completed,SHOT_010,630,630
564,Layout,In progress,SHOT_060,730,730
565,Animation,Ready to Start,SHOT_030,630,630
566,Layout,Completed,SHOT_030,630,630
567,Hair and Fur,Completed,SHOT_140,180,180
568,Compositing,Pending Review,SHOT_140,180,180
569,Paint,Ready to Start,SHOT_140,180,180
570,Animation,Approved,SHOT_140,180,180
571,Lookdev,Pending Review,SHOT_140,180,180
572,Cloth,Completed,SHOT_140,180,180
573,Baking,Completed,SHOT_140,180,180
574,Paint,Completed,SHOT_120,250,250
575,Lookdev,In progress,SHOT_120,250,250
576,Animation,Ready to Start,SHOT_230,450,450
577,Layout,Completed,SHOT_230,450,450
578,Layout,In progress,SHOT_660,310,310
579,Paint,Completed,SHOT_050,280,280
580,Lookdev,On Hold,SHOT_050,280,280
581,Animation,In progress,SHOT_120,230,230
582,Animation,Ready to Start,SHOT_050,650,650
583,FTP,Completed,SHOT_011,750,750
584,FTP,Completed,SHOT_012,750,750
585,Layout,Completed,SHOT_050,650,650
586,FTP,Completed,SHOT_010,750,750
587,Layout,In progress,SHOT_050,690,690
588,Animation,Ready to Start,SHOT_080,450,450
589,Layout,Completed,SHOT_080,450,450
590,Layout,In progress,SHOT_030,610,610
591,fx,Ready to Start,SHOT_035,150,150
592,Animation,Ready to Start,SHOT_140,450,450
593,Layout,Completed,SHOT_140,450,450
594,Animation,Ready to Start,SHOT_150,360,360
595,Layout,Completed,SHOT_150,360,360
596,Layout,In progress,SHOT_580,310,310
597,Animation,Ready to Start,SHOT_170,360,360
598,Layout,Completed,SHOT_170,360,360
599,Baking,Completed,SHOT_250,700,700
600,Layout,In progress,SHOT_060,610,610
601,FTP,Completed,SHOT_020,630,630
602,Layout,In progress,SHOT_120,730,730
603,Hair and Fur,Ready to Start,SHOT_359,070,070
604,Animation,Approved,SHOT_359,070,070
605,Cloth,Ready to Start,SHOT_359,070,070
606,Baking,Completed,SHOT_359,070,070
607,Animation,Ready to Start,SHOT_070,650,650
608,Layout,Completed,SHOT_070,650,650
609,hair and fur,Completed,SHOT_060,180,180
